VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
642,531,8,2,687,66,654,85,853,48,636,48,956,3,4.93E-04,6.24E+00,1.40E+06,1.79E+06,8.29E+01,2.49E+01
250,798,1,1,889,67,623,15,637,44,179,89,111,19,1.21E-04,5.06E+01,9.84E+04,3.09E+07,8.27E+01,5.01E+01
258,737,1,3,926,64,840,12,576,42,179,88,113,20,1.50E-04,3.40E+01,5.77E+05,2.54E+07,1.15E+02,3.61E+01
250,797,2,2,914,68,833,18,602,92,179,89,113,10,7.05E-05,4.68E+01,9.84E+04,1.63E+07,9.41E+01,4.76E+01
277,752,2,3,925,66,641,94,602,92,179,89,113,8,4.18E-04,2.62E+01,2.17E+06,1.81E+08,3.42E+01,1.51E+01
216,752,2,3,951,68,834,15,668,92,145,89,113,20,1.12E-04,3.07E+01,3.71E+05,1.28E+07,1.21E+02,3.79E+01
293,738,2,3,926,63,824,15,612,44,179,88,196,10,1.41E-04,5.95E+01,2.61E+04,3.95E+07,1.22E+02,3.76E+01
810,739,2,2,926,14,648,15,592,65,195,88,113,20,7.42E-05,2.57E+01,2.38E+05,3.38E+06,9.38E+01,6.36E+01
270,610,1,1,546,65,837,92,690,43,178,37,794,40,9.74E-04,1.83E+01,1.28E+07,9.56E+07,6.82E+01,3.00E+01
755,815,2,1,261,81,671,93,547,63,545,45,492,59,1.54E-04,3.16E+01,1.40E+06,3.95E+07,7.36E+01,2.95E+01
709,610,1,1,549,15,703,91,655,65,195,77,849,41,3.53E-04,4.30E+01,5.77E+05,7.48E+07,8.59E+01,2.27E+01
250,872,1,1,889,67,631,16,535,43,179,89,109,19,4.14E-05,5.00E+01,4.06E+04,1.28E+07,7.78E+01,5.11E+01
276,796,1,3,925,67,830,14,602,98,179,89,113,10,5.85E-05,4.03E+01,2.38E+05,1.98E+07,8.90E+01,4.65E+01
647,449,7,2,579,17,587,41,606,45,636,14,896,10,2.23E-04,2.69E+01,3.71E+05,6.73E+06,1.31E+02,2.64E+01
278,792,1,3,926,67,832,16,840,98,183,89,110,2,4.64E-05,5.39E+01,6.32E+04,2.54E+07,5.42E+01,4.15E+01
302,739,2,3,912,68,834,11,583,91,179,88,111,20,8.52E-05,2.61E+01,3.71E+05,6.73E+06,1.18E+02,4.13E+01
264,751,2,2,926,67,834,15,602,42,179,88,113,9,1.39E-04,5.49E+01,4.06E+04,2.54E+07,1.06E+02,4.28E+01
250,872,1,1,889,67,629,14,535,43,184,89,109,19,3.91E-05,4.90E+01,4.06E+04,1.05E+07,7.84E+01,5.20E+01
250,797,1,1,889,67,579,16,595,42,179,89,113,19,1.33E-04,5.22E+01,9.84E+04,3.95E+07,8.35E+01,4.92E+01
297,752,2,3,597,63,742,14,612,44,179,88,196,6,9.62E-05,4.92E+01,9.84E+04,2.54E+07,1.09E+02,3.83E+01
709,746,2,3,925,67,642,14,602,31,181,88,115,11,1.85E-04,5.75E+01,4.06E+04,3.95E+07,1.26E+02,3.85E+01
250,810,6,2,990,67,623,15,637,37,179,13,887,19,3.56E-05,3.81E+01,6.32E+04,3.38E+06,7.92E+01,2.10E+01
649,444,1,1,590,18,587,45,852,45,636,89,109,2,4.52E-04,5.67E+01,1.53E+05,1.16E+08,6.94E+01,2.14E+01
277,752,2,3,926,68,587,15,629,92,180,16,109,6,6.23E-05,2.52E+01,5.77E+05,1.05E+07,1.14E+02,4.62E+01
649,444,8,2,593,15,833,45,964,44,634,86,896,10,3.16E-04,3.32E+01,1.53E+05,8.19E+06,1.39E+02,8.48E+00
276,796,1,3,923,67,818,13,602,92,179,89,113,10,5.81E-05,4.07E+01,2.38E+05,1.98E+07,8.91E+01,4.68E+01
258,752,1,3,926,67,842,15,602,97,179,89,113,10,9.35E-05,3.67E+01,5.77E+05,3.09E+07,1.02E+02,4.07E+01
291,610,2,3,546,14,652,95,688,63,203,37,812,8,7.15E-04,8.01E-01,5.27E+06,2.17E+06,6.99E+01,1.69E+01
803,714,1,4,935,64,814,11,594,44,179,86,110,42,1.25E-04,2.35E+01,5.77E+05,8.19E+06,1.18E+02,5.73E+01
250,812,2,1,914,68,833,18,602,92,179,89,113,7,5.31E-05,5.27E+01,4.06E+04,1.28E+07,7.76E+01,4.87E+01
